PHONE_TYPE,RAM_STORAGE,NAIRA_PRICE,CITY,STATE,PHONE_CONDITION
New Google Pixel 7 Pro 256 GB White,6 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,6 GB,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,6 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 20 5G 128GB Purple,6 GB,260000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 128 GB,6 GB,900000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 256 GB Gray,6 GB,350000,Ikeja,Lagos State,Used
New RED Hydrogen One 128 GB Black,6 GB,260000,Wuse,Abuja (FCT) State,Brand New
Infinix Hot 8 32 GB,6 GB,43000,Ikorodu,Lagos State,Used
Samsung Galaxy A03 Core 32 GB Green,6 GB,53000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 128 GB Blue,6 GB,420000,Alimosho,Lagos State,Used
Samsung Galaxy S9 Plus 128 GB Black,6 GB,105000,Ado Ekiti,Ekiti State,Used
Tecno Camon 15 64 GB Gold,6 GB,45000,Garki 1,Abuja (FCT) State,Used
Samsung Galaxy A20s 64 GB Red,6 GB,50000,Ibadan,Oyo State,Used
Xiaomi Redmi Note 9S 128 GB Blue,6 GB,70000,Akure,Ondo State,Used
Nokia G60 128 GB Black,6 GB,165000,Ibadan,Oyo State,Used
Nokia G21 64 GB Purple,6 GB,30000,Ikeja,Lagos State,Used
Google Pixel 6a 128 GB Black,6 GB,225000,Ojodu,Lagos State,Used
Apple iPhone 12 Pro 128 GB White,6 GB,380000,Yola North,Adamawa State,Used
Infinix Hot 8 32 GB,6 GB,43000,Ikorodu,Lagos State,Used
Apple iPhone 6s 32 GB Black,6 GB,45000,Ife,Osun State,Used
Samsung Galaxy S22 Ultra 256 GB White,6 GB,580000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro 128 GB Gold,6 GB,430000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 13 Pro 256 GB Gold,6 GB,310000,Ilorin West,Kwara State,Used
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 8 128 GB Blue,12 GB,115000,Alimosho,Lagos State,Used
Apple iPhone 11 Pro 64 GB Green,12 GB,290000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 128 GB Gray,12 GB,680000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Gold,12 GB,520000,Wuse,Abuja (FCT) State,Used
Apple iPhone XS Max 512 GB Black,12 GB,240000,Wuse,Abuja (FCT) State,Used
Vivo Y1s 32 GB Black,12 GB,40000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB Black,12 GB,110000,Ibadan,Oyo State,Used
Apple iPhone 6s Plus 64 GB Rose Gold,12 GB,60000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS Max 256 GB Gold,12 GB,175000,Ibadan,Oyo State,Used
Samsung Galaxy S9 Plus 64 GB Purple,12 GB,65000,Ikeja,Lagos State,Used
Infinix Hot 12i 64 GB Blue,12 GB,85000,Ilorin West,Kwara State,Used
Infinix Hot 20S 128 GB Pink,12 GB,55000,Lekki,Lagos State,Used
New Infinix Note 12 128 GB Black,12 GB,130000,Suleja,Niger State,Brand New
Samsung Galaxy S10 128 GB Blue,12 GB,130000,Osogbo,Osun State,Used
New Google Pixel 7 128 GB Black,12 GB,360000,Ojodu,Lagos State,Brand New
Apple iPhone 13 128 GB Blue,12 GB,400000,Wuse 2,Abuja (FCT) State,Used
Tecno Camon 19 128 GB Gray,12 GB,90000,Lekki,Lagos State,Used
Apple iPhone 11 Pro 256 GB Gold,12 GB,250000,Oluyole,Oyo State,Used
Google Pixel 6a 128 GB White,12 GB,260000,Ikotun/Igando,Lagos State,Used
New Google Pixel 7 Pro 256 GB Gray,12 GB,550000,Ikeja,Lagos State,Brand New
New Samsung Galaxy S21 Ultra 5G 512 GB Black,12 GB,605000,Ikeja,Lagos State,Brand New
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
New Google Pixel 7 128 GB Black,12 GB,380000,Ikeja,Lagos State,Brand New
Apple iPhone 11 128 GB White,12 GB,255000,Ikeja,Lagos State,Used
Apple iPhone XR 128 GB Red,12 GB,180000,Onitsha,Anambra State,Used
Apple iPhone 11 Pro Max 256 GB Black,12 GB,350000,Ikeja,Lagos State,Used
Apple iPhone 12 128 GB Blue,12 GB,390000,Wuse,Abuja (FCT) State,Used
New Samsung Galaxy S21 Ultra 5G 256 GB Black,12 GB,460000,Owerri,Imo State,Brand New
Apple iPhone 7 Plus 128 GB White,12 GB,95000,Eket,Akwa Ibom State,Used
Apple iPhone 6s Plus 16 GB Gold,12 GB,60000,Osogbo,Osun State,Used
Apple iPhone XS Max 512 GB Black,12 GB,250000,Ajah,Lagos State,Used
Samsung Galaxy S9 Plus 256 GB Purple,12 GB,140000,Onitsha,Anambra State,Used
Tecno Camon 11 32 GB Red,12 GB,30000,Onitsha,Anambra State,Used
Tecno Camon 11 32 GB,12 GB,30000,Awka,Anambra State,Used
Apple iPhone 7 Plus 128 GB,12 GB,90000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB White,12 GB,135000,Benin City,Edo State,Used
Xiaomi Redmi Note 10 Pro 128 GB Gray,12 GB,150000,Ibadan,Oyo State,Used
Apple iPhone 12 128 GB Green,12 GB,250000,Warri,Delta State,Used
Apple iPhone XR 64 GB Red,12 GB,140000,Osogbo,Osun State,Used
Apple iPhone XS Max 64 GB Gold,12 GB,135000,Ikeja,Lagos State,Used
Apple iPhone 6s 32 GB Silver,12 GB,55000,Ibadan,Oyo State,Used
Samsung Galaxy Note 8 64 GB Black,12 GB,98000,Ikeja,Lagos State,Used
New Samsung Galaxy S21 Ultra 5G 256 GB Bronze,12 GB,490000,Ikeja,Lagos State,Brand New
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,12 GB,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
Apple iPhone 11 64 GB Orange,12 GB,245000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Green,12 GB,295000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro 128 GB Green,12 GB,430000,Wuse,Abuja (FCT) State,Used
Samsung Galaxy Z Fold4 256 GB Silver,12 GB,1000000,Wuse,Abuja (FCT) State,Used
OnePlus 9R 256 GB Black,12 GB,300000,Lugbe District,Abuja (FCT) State,Used
Infinix Hot 8 Lite 32 GB Purple,12 GB,45000,Bwari,Abuja (FCT) State,Used
New Apple iPhone 13 Mini 128 GB Blue,12 GB,340000,Ikeja,Lagos State,Brand New
Itel P37 32 GB Blue,12 GB,45000,Akure,Ondo State,Used
New Apple iPhone 13 Pro Max 256 GB Blue,12 GB,500000,Wuse 2,Abuja (FCT) State,Brand New
Tecno Camon 19 128 GB Blue,12 GB,115000,Awka,Anambra State,Used
Nokia C10 32 GB Black,12 GB,50000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Red,12 GB,175000,Benin City,Edo State,Used
Honor 8 Lite Dual SIM 32 GB White,12 GB,36000,Nasarawa-Kano,Kano State,Used
Apple iPhone 11 Pro 64 GB Gold,12 GB,265000,Kubwa,Abuja (FCT) State,Used
Honor 8 Lite Dual SIM 32 GB Black,12 GB,36000,Nasarawa-Kano,Kano State,Used
Xiaomi Redmi Note 4X 32 GB Black,12 GB,23000,Nasarawa-Kano,Kano State,Refurbished
Xiaomi Redmi Note 4X 32 GB Gold,12 GB,23000,Nasarawa-Kano,Kano State,Refurbished
Apple iPhone 13 Pro 128 GB Blue,12 GB,650000,Wuse 2,Abuja (FCT) State,Used
Xiaomi Redmi 10 128 GB,12 GB,120000,Awka,Anambra State,Used
Vivo Y53s 128 GB Blue,12 GB,115000,Wuse 2,Abuja (FCT) State,Used
New Google Pixel 7 Pro 256 GB White,4 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,4 GB,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,4 GB,580000,Ikeja,Lagos State,Brand New
Apple iPhone 12 Pro Max 128 GB Blue,4 GB,485000,Ikeja,Lagos State,Used
Apple iPhone 8 64 GB Red,4 GB,99000,Ikeja,Lagos State,Used
Samsung Galaxy Z Fold 3 256 GB Black,4 GB,600000,Ikeja,Lagos State,Used
